ID	Learning goal	Title 	Time	Location	Tools	Groupsize	Introduction	Main	Examples	Reflection	Tips	Extra
A0101	Ordne tal, mengder og former ut frå eigenskapar, samanlikne dei og reflektere over om dei kan ordnast på fleire måtar	Lag en maurtue! Gruppering etter konkreter	15	Inne / ute	Ingen	3-5	I denne aktiviteten skal elevene samle inn gjenstander fra naturen eller klasserommet. Etterpå skal de i fellesskap sortere og gruppere det de har funnet – helt uten hjelp fra læreren.	1. Samle elevene, del dem i grupper på 5 og fortell at de nå er små maur som skal bygge en maurtue.  2. Forklar at hver maur skal finne 2-3 små gjenstander i naturen eller rundt i klasserommet som de skal ta med seg tilbake til et felles område (“maurtua”).  3. Sett en tidsgrense på 5 minutter – “Jobb raskt før det kommer regn!” 4. Når alle er tilbake i maurtua skal elevene sortere og gruppere gjenstandene de har funnet - uten føringer fra læreren 	- Etter type (kongler for seg, steiner for seg) - Etter antall (alle som har 4 ting står sammen) - Etter farge (brune ting, grønne ting…) - Etter egenskaper (myke, harde, spisse, flate…)	- Hva slags sorteringer kom dere på? - Kunne noen ting passe i flere grupper?		
A0102	Ordne tal, mengder og former ut frå eigenskapar, samanlikne dei og reflektere over om dei kan ordnast på fleire måtar	Kongen befaler! Sortering etter egenskaper	5	Inne / ute	Ingen	Alle	I denne aktiviteten skal læreren være kongen i "Kongen befaler".  Elevene skal sortere seg etter kongens befalinger.	1. Samle elevene i klasserommet eller på et åpent uteområde.  2. Fortell elevene at læreren nå skal være kongen i leken Kongen befaler. Kongen gir kommandoer som handler om å sortere eller gruppere seg ut fra bestemte egenskaper.  3. Kongen gir én kommando av gangen mens elevene utfører oppgaven  4. Etter hver runde kan dere kort snakke om hvordan de løste det. 	Sortering: - Still dere i rekkefølge etter høyde – lavest til høyest! - Sorter dere etter skostørrelse! Gruppering: - Finn andre med samme øyenfarge som deg! - Lag grupper etter fargen på genseren deres! - Grupper dere etter hvilken farge det er mest av på skoene deres!	 - Hvordan visste du hvilken gruppe du skulle i? - Hva betyr det å sortere etter noe?  - Hva betyr det å gruppere? - Kan man noen ganger høre til flere grupper? - Kan man være usikker på hvor man passer inn?	Vær tydelig i befalingen: si for eksempel «Sorter etter skostørrelse – liten til stor» heller enn bare «Sorter etter sko». Kombiner gjerne med begrepslæring i matematikk (måling, sammenligning, kategorisering). Pass på at alle føler seg inkludert – fokuser på samarbeid fremfor konkurranse. Aktiviteten egner seg også godt som overgangsaktivitet eller pause.	
A0103	Ordne tal, mengder og former ut frå eigenskapar, samanlikne dei og reflektere over om dei kan ordnast på fleire måtar	Sammenlikning av tegning	15	Inne 	Penn, Papir 	4-5	I denne aktiviteten skal elevene tegne sammen og deretter sortere og sammenligne kunsten!	1. Del klassen inn i grupper på 4–5 elever og lag tilsvarende stasjoner rundt i klasserommet med penn og papir 2. Hver gruppe starter ved en tegnestasjon og tegner fritt i 2 minutter. 3. Etter 2 minutter roper læreren at klassen skal rotere til neste stasjon.  4. Dette gjentas til alle gruppene har bidratt til alle tegningene. 4. Gruppene returnerer til sin opprinnelige stasjon. De studerer det ferdige verket og diskuterer: Hva ble dette til? Hvordan forandret tegningen seg? 5. Deretter går gruppene rundt og sammenligner med de andre tegningene og sorterer etter likheter og ulikheter 		- Hva ble dette til?  - Hvordan forandret tegningen seg? - Hvilken tegning likner mest på den du startet på?  - Sorter dere i grupper på 5 med tegningen du holder i hånda 	Ta gjerne bilder av tegningene og lag en utstilling etterpå.	
A0104	Ordne tal, mengder og former ut frå eigenskapar, samanlikne dei og reflektere over om dei kan ordnast på fleire måtar	Røvere på jakt etter farger	15	Inne / ute	Ingen	4-6	I denne aktiviteten skal elevene være røvere å jakte på farger og deretter dele fangsten seg i mellom. Målet til gruppa er å kun finne gjenstander i gitt farge og deretter samarbeide rundt sortering og gruppering	1. Samle elevene og fortell at de nå skal være røvere på jakt etter fargede skatter i naturen. 2. Del klassen inn i 4 grupper. Tildel hver gruppe en farge (f.eks. brun, grønn, rød, gul). 3. Forklar at de kun skal samle ting i sin farge. 4. Sett en tidsgrense, f.eks. 5 minutter. 5. Gruppene beveger seg ut og samler så mange gjenstander som mulig i sin farge. 6. Samle alle og start diskusjon	Brun: kongler, bark, visne blader, pinner Blå: blomster, blåbær Grønn: blader, gress	- Er det mulig å gruppere gjenstandene deres i undergrupper? (f.eks. “myke ting”, “ting som kommer fra trær”, “runde ting”) - Hvordan kan man sortere tingene på andre måter enn bare farge? (f.eks. størrelse, form, tekstur)	- For å gjøre det mer krevende: si at ingen i gruppen får hente helt like ting (alle må bidra med noe unikt). Begrens hvor mange gjenstander hver elev kan hente. - Bruk aktiviteten som inngang til naturfaglige begreper som materialer, kategorisering og mangfold i naturen. - Oppmuntre til kreativ tenkning: Hva gjør noe “brunt”? Kan én ting høre hjemme i flere grupper?	
A0105	Ordne tal, mengder og former ut frå eigenskapar, samanlikne dei og reflektere over om dei kan ordnast på fleire måtar	Marked - sammenlign egenskaper	45	Ute	Ingen	Alle	I denne aktiviteten skal elevene være vikinger som samler ulike konkreter. Deretter skal de gå tilbake til landsbyen og gå til "markedet" der de bytter gjenstander med hverandre. På markedet skal de diskutere rundt egenskaper, likheter og ulikheter rundt konkretene.	1. Samle elevene og fortell at de nå skal være vikinger som samler ressurser for å bytte på markedet. 2. Forklar at hver elev skal samle sine egne gjenstande og at de deretter skal bytte med andre elever på markedet. 3. Sett en tidsgrense på 10 minutter for at elevene skal samle gjenstandene. De beveger seg rundt i området (enten ute eller inne) og finner gjenstander som passer til kriteriene de har fått. 4. Gi instruksjoner før de løper t og sanker:  "Finn noe som er rundt, finn noe som er mykt, finn noe som er grønt", osv 5. Oppfordre dem til å finne unike gjenstander, og begrens gjerne antall gjenstander de kan samle (f.eks. maks tre gjenstander per elev). 6. Samle elevene etter 10 min  og forklar at de skal argumentere for hvorfor de mener deres gjenstander kan byttes basert på felles egenskaper (f.eks. "Min stein er rund, og din er også rund, så vi kan bytte"). 7. Etter bytteprosessen samles alle og diskuter hvordan byttene gikk		- Hvordan bestemte de hvilke gjenstander som kunne byttes? - Hvordan argumenterte de for at gjenstandene var like? - Hva slags egenskaper vurderte de – farge, form, størrelse, tekstur? - Hvilke ressurser var mest ettertraktede, og hvorfor? - Hva lærte de om likhet og forskjell? Hvordan kan man vurdere om noe er "like"?	Denne aktiviteten fungerer godt både ute og inne – innendørs kan gjenstandene være papirbiter, plastobjekter eller små blokker, mens utendørs kan man bruke steiner, blader, kongler, pinner osv.  Legg vekt på samarbeid og kreativ tenkning, og oppmuntre til diskusjon og refleksjon om hvilke egenskaper som gjør at to objekter kan byttes.	
A0106	Ordne tal, mengder og former ut frå eigenskapar, samanlikne dei og reflektere over om dei kan ordnast på fleire måtar	Sorter og samarbeid! Objekter i rekkefølge 	15	Inne / ute	Ingen	4	I denne aktiviteten skal elevene samle naturlige objekter ute og deretter samarbeide i grupper for å sortere dem etter ulike egenskaper.	1. Be elevene gå ut og samle minst to av samme type gjenstand (f.eks. to steiner, to blader). 2. Når alle har samlet, deles elevene i grupper på 4  3. Gruppene sorterer objektene etter egenskaper som farge, størrelse eller vekt, og plasserer dem i stigende eller synkende rekkefølge. 4. Elevene merker antall og kobler objektene til tall. 5. Gruppene deler strategiene sine med resten av klassen. 	– Sortering etter farge (grønne, brune, mørke) – Størrelse (små til store steiner) – Vekt (lette blader til tyngre kongler) – Tekstur (glatt, ru, piggete) – Antall (parvise gjenstander, telle og sammenligne mengder) 	– Hvordan valgte dere å sortere objektene? – Kunne gjenstandene sorteres på flere måter? – Var det vanskelig å bli enige? – Hvilke egenskaper var lettest å sortere etter?		
A0107	utforske, tegne og beskrive geometriske figurer fra sitt eget nærmiljø og argumentere for måter å sortere dem på etter egenskaper	Alle mann av hus 	15	Ute 	Kritt	Alle	I denne aktiviteten er elevene inne i «hus» formet som ulike geometriske figurer. De må løpe ut hvis de befinner seg i det huset som passer til det som ropes – men passe seg for å bli tatt!	1. Marker 3–5 «hus» på bakken i ulike geometriske former (sirkel, firkant, trekant, osv.). 2. Alle elevene starter inne i hvert sitt «hus». 3. Én elev står utenfor og roper: «Alle mann av hus, de som står i [noe]!» 4. Alle som står i det huset som nevnes, må løpe ut av huset og inn i et nytt hus 5. Den som står utenfor prøver å ta dem. De som blir tatt, hjelper til å fange de neste. 6. Fortsett til alle har vært ute eller alle er tatt. 	- Alle som befinner seg inne i en trekant - Alle som befinner seg i en figur uten kanter		– Varier hvor mange former du bruker, og hvilke. – Snakk kort om navnet på formene og hva som kjennetegner dem. 	
A0201	Utforske tal, mengder og teljing i leik, natur, biletkunst, musikk og barnelitteratur, representere tala på ulike måtar og omsetje mellom dei ulike representasjonane	Danseleken!	5	Inne 	Høyttaler	Alle 	I denne aktiviteten skal elevene danse mens de teller hvor mange ganger en bestemt frase gjentas i sangen. Etterpå hopper de like mange ganger!	1. Forklar at elevene skal danse mens de lytter etter en bestemt frase i sangen  2. Spør om noen kjenner sangen, og øv evt. frasen først. 3. Spille sangen – elevene danser og teller hver gang frasen sies. 4. Etterpå sier læreren: «Hvor mange ganger hørte vi frasen?» 5. Elevene hopper like mange ganger som frasen ble sagt (f.eks. 15 hopp). 6. Snakk sammen om antallet. 	“Hey Macarena, ay!” (15 ganger) 	– Hvor mange ganger hørte dere frasen? – Hoppet alle like mange ganger? 	– Bruk sanger med tydelig og repeterende tekst. – Oppmuntre til å telle stille for seg selv mens de danser. – Repetér sangen og se om elevene får likt svar andre gang. 	
A0202	Utforske tal, mengder og teljing i leik, natur, biletkunst, musikk og barnelitteratur, representere tala på ulike måtar og omsetje mellom dei ulike representasjonane	Skuespill	5	Inne	Fortelling 	Alle	I denne aktiviteten skal læreren ha høytlesning av en fortelling! Etter hvert avsnitt stopper læreren og stiller et spørsmål knyttet til tall i fortellingen, der elevene må gjøre en bevegelse knyttet til det tallet. 	1. Elevene stiller seg i en sirkel rundt læreren, som sitter i midten og leser høyt. 2. Forklar at dere skal høre et spennende eventyr, og at de underveis får spørsmål knyttet til tall i fortellingen.  3. For hvert spørsmål skal de gjøre en bevegelse som passer til tallet. 	 Espen Askeladd som kappåt med trollet  Det var en gang en bonde som hadde tre sønner. Bonden var gammel og fattig, men sønnene hans ville ikke gjøre noe på gården. Det hørte en stor skog til gården, og faren ville at sønnene skulle hogge i skogen.   Spørsmål: “Hvor mange sønner hadde bonden? Hopp antallet!”   Først skulle den eldste ut og hogge. Da han hadde kommet ut i skogen og hadde begynt å hogge på en gran, kom det et stort troll bort til ham. - Hvis du hogger i min skog, så dreper jeg deg! brølte trollet. Da gutten hørte det, kastet han øksa og løp hjem så fort han kunne.  Da han kom hjem, ble faren sint, og sa at trollene aldri hadde skremt ham da han var ung.  Spørsmål: “Hvem av sønnene skulle ut og hogge først? Klapp antallet!”   Neste dag skulle den andre sønnen ut i skogen. Det gikk ikke bedre med ham. Da han hadde begynt å hogge på grana, kom trollet. - Hvis du hogger i min skog, så dreper jeg deg! Brølte det. Gutten kastet øksa og løp så fort han kunne.  Da han kom hjem, ble faren sint, og sa at han aldri var blitt skremt av trollene da han var ung.  Spørsmål: “Hvilken sønn skulle ut denne dagen? Snurr antallet!” ​ Den tredje dagen ville den yngste av brødrene prøve seg. Den yngste ble kalt Askeladden. Askeladden la en fersk ost i skreppa og dro til skogs. Da han hadde hogd en stund, kom trollet. - Hvis du hogger i min skog, dreper jeg deg! Brølte det. Askeladden tok osten ut av skreppa og klemte den så hardt at det rant av den. - Hvis du ikke tier stille, så skal jeg klemme deg akkurat som jeg klemmer vannet ut av denne hvite steinen! - Å nei, vær så snill! Jeg skal hjelpe deg å hogge. Trollet var flink til å hogge, så det ble mye ved den dagen.  Spørsmål: “Hvilken plass i søskenrekken hadde Askeladden? Vis antallet med fingrene og tramp antallet!”  Da kvelden kom, sa trollet: - Du kan bli med meg hjem. Det er lengre vei til deg enn til meg. Dette syns Askeladden var en god idé.   Da de kom frem, ville trollet tenne i peisen mens gutten skulle gå etter vann til grøten.  Trollet ga ham to jernbøtter, så tunge at gutten ikke kunne løfte på dem. - Disse bøttene er for små, sa Askeladden. Det er bedre at jeg henter hele brønnen. - Åh nei, jeg kan ikke miste brønnen min. Du kan tenne i peisen, så skal jeg gå etter vann.  Spørsmål: “Hvor mange bøtter ga trollet Askeladden? Lat som du løfter opp antallet bøtte!”  Da trollet kom tilbake med vannet, kokte de en stor grøt-gryte. - Hvis du vil, kan vi spise om kapp? sa Askeladden Ja dette ville trollet, for han var sikker på å vinne.   Spørsmål: “Hvor mange personer spiste grøt sammen? Sitt ned og lat som du spiser med skje antallet ganger”  Askeladden tok skinnskreppa foran seg uten at trollet så det, og så øste han mer i den, enn i seg selv. Da skreppa var full, tok han kniven sin og stakk hull på den. Trollet så på ham, men sa ikke noe. Da de hadde spist en stund, la trollet fra seg skjeen. - Nei, nå orker jeg ikke mer! - Jo, nå får du spise. Du kan bare gjøre slik som jeg. Skjær hull på magen, så kan du spise så mye du vil. Så gjorde trollet som gutten sa, men du kan vel tenke deg hvordan det gikk? Trollet døde med en gang. Askeladden tok med seg alt det gullet og sølvet han fant, og gikk glad og fornøyd hjem.			Printout av fortellingen
A0203	Utforske tal, mengder og teljing i leik, natur, biletkunst, musikk og barnelitteratur, representere tala på ulike måtar og omsetje mellom dei ulike representasjonane	Hopp og tenk!	15	Ute 	Hoppetau	4	I denne aktiviteten skal elevene bruke kroppen til å utforske begreper som «det dobbelte av» og «halvparten av» gjennom hoppetauleker i grupper. 	1. Del klassen i grupper på 4 elever: én hopper, én gir instruksjonen, og to slenger tauet  2. Instruktøren gir en oppgave, f.eks.: «Hopp dobbelt så mange ganger som 4», eller «Hopp halvparten av 10». 3. Hopperen får 10–20 sekunder til å tenke før de hopper. 4. Alle rullerer på rollene etter noen runder. 	- Hopp dobbelt så mange ganger som 3! - Hopp halvparten av 8 - Hopp like mange ganger som 2 + 2! - Kombiner med rim eller sang: «Hopp det dobbelte av to, 1–2–3–4 GO!» 	 - Hva betyr «dobbelt så mange»? – Var det lettere med halvparten eller dobbelt av? 	– Juster tallene etter nivået på elevene -  Legg til rytmer, klapping eller musikk for variasjon.– 	
