													
	Id	Learning goal	Title	Time	Location	Tools	Groupsize	Introduction	Main	Example	Tips	Reflection	Extra
	C0101	utforske og bruke målings- og delingsdivisjon i praktiske situasjonar 	Kongen befaler!	5	Inne/Ute	Ingen	Alle	Kongen befaler at alle elever skal være snille:)  I denne aktiviteten skal læreren være kongen og elevene skal følge instruksjonene som blir gitt	1. Forklar at læreren er "kongen" og gir kommandoer som elevene skal følge 2. Gi kommandoer som handler om å dele inn klassen i ulike grupper 3. Still oppfølgingsspørsmål etter hver kommando (f.eks. hvor mange grupper? hvor mange per gruppe?).   4. Varier mellom målingsdivisjon (f.eks. lag 5 grupper) og delingsdivisjon (f.eks. grupper på 3).   5. Gjenta med nye oppgaver, og diskuter løsninger underveis.	- Kongen befaler at alle deler seg i grupper på 3. Klassen har 24 elever, så det blir 8 grupper.  - "Bli 4 grupper!". Da må elevene finne ut at det blir 6 elever per gruppe.	La elevene selv få komme med forslag til kommandoer.	- Hva var forskjellen på når vi lagde grupper på 3, og når vi skulle bli 3 grupper?  - Hvordan fant dere ut hvor mange det ble i hver gruppe?  - Kan du forklare hvordan du delte opp?	
	C0102	utforske og bruke målings- og delingsdivisjon i praktiske situasjonar 	Ballongstafett	15	Ute	Ballonger, stoppeklokke, målebånd	4	I denne aktiviteten skal elevene utforske målings- og delingsdivisjon ved å måle tid og beregne fart i en ballongstafett.	1. Del klassen i grupper på 4 elever og del ut 2 ballonger som de må blåse opp selv.  2. Hver gruppe deler seg i to par. 3. Marker en løype på for eksempel 10 m  4. Parene plasserer ballongen mellom pannene.  5. På signal løper de til enden av løypa og tilbake mens en elev tidtar. Her er det om å gjøre å ikke miste ballongen i bakken!  6. Noter tiden for hver runde. 7. Beregn gjennomsnittsfarten ved å dele distansen (m) på tiden (s) og diskuter sammenhengen	Et par brukte 8 s på 10 m = 1,25 m/s.	- Kan endre fra ballong til noe annet dere har liggende	- Hvordan brukte dere divisjon for å finne farten? - Hva lærte dere om sammenhengen mellom tid, avstand og fart?	
	C0201	representere divisjon på ulike måtar og omsetje mellom dei ulike representasjonane 	Puslespill med divisjon	15	Inne/Ute	Vedlagte puslespillbrikker	2-3	I denne aktiviteten skal eleven pusle med brikker der hver kant representerer et delingsstykke med en tilhørende kant og mengde.	1. Print ut vedlagte puslespillbrikker i papir  2. Del klassen i grupper på 3 og gi hver gruppe et sett med puslespillbrikker.   3. Hver brikke har et divisjonsstykke på én kant og et visuelt svar (f.eks. pizzabiter, grupper) på en annen.   4. Elevene skal finne riktige koblinger (f.eks. 6 ÷ 2 med bilde av 3 grupper).   5. Brikkene har også unike former på kantene som må passe sammen.   6. Øk aktivitetsnivået ved å legge halvparten av puslespillbrikkene på den ene enden av klasserommet og resten på den andre. Elevene må løpe frem for å hente brikken som samsvarer med den som ligger på den andre siden. 6. Når hele puslespillet er lagt, skal elevene forklare hva de ser.	- Brikken «4 ÷ 2» skal kobles med en brikke som viser to pizzastykker.  - En annen brikke «9 ÷ 3» skal kobles med bilde av 3 grupper med 3 kuler.			Printoupt av puslespill
	C0301	utforske, bruke og beskrive ulike divisjonsstrategiar 	Kongen befaler!	5	Inne/ute	Ingen	Alle	I denne aktiviteten skal elevene følge kongens instruksjoner som innebærer å dele seg i grupper på ulike måter, og utforsker strategier for delings- og målingsdivisjon.	1. Forklar at læreren er “kongen” og gir kommandoer som alle må følge.   2. Gi kommandoer som: “Del dere i grupper på 3”, “Bli 4 grupper”, “Del dere på de 4 veggene”, “Del klassen i to, og så to igjen”.   3. Etter hver kommando: diskuter hvor mange grupper det ble, eller hvor mange per gruppe.   4. Be elevene forklare hvordan de fant svaret.  5. Gjenta med ulike tall og situasjoner. 	- Kongen sier: “Del dere i grupper på 3!” Klassen er 24 elever, så elevene finner ut at det blir 8 grupper.  - “Bli 4 grupper”. Elevene må dele seg slik at det blir 6 elever i hver gruppe.	Bruk konkreter eller tegn antall på tavla om nødvendig. La elevene selv få komme med forslag til kommandoer.	- Hvordan fant du ut hvor mange grupper det ble?  - Hva var forskjellen på å vite hvor mange grupper man skal ha, og hvor mange elever det skal være i hver?  - Hvilken strategi brukte du?	
	C0401	utforske og forklare samanhengar mellom dei fire rekneartane og bruke samanhengane formålstenleg i utrekningar 	Påstandsveggene	5	Inne	Ingen	Alle	I denne aktiviteten skal elevene velge riktig vegg basert på hvilken regneart de mener passer til en oppgave – og begrunner valget sitt.	1. Velg fire vegger og merk dem som +, –, × og ÷ .   2. Læreren sier en oppgave eller en påstand høyt, f.eks. “Sofie har tre tikroninger. Hva bør hun gjøre for å finne ut hvor mye penger hun har?”   3. Elevene går fysisk til den veggen de mener viser riktig regneart.   4. Etter alle har valgt: læreren gjennomgår svaret og spør elevene hvorfor de valgte som de gjorde.   5. Repeter med nye oppgaver.	Sofie har 3 ti-kroninger. Riktig regneart er multiplikasjon (3 × 10 = 30), så elevene går til veggen merket "×".	Dersom det blir en tendens at elevene hermer og ikke tenker selv, kan man be alle lukke øynene og heller peke på den veggen de mener er riktig	- Hvordan visste du hvilken regneart som passet?  - Kunne du løst oppgaven på flere måter?  - Når er det smart å bruke ganging i stedet for pluss?	
	C0402	utforske og forklare samanhengar mellom dei fire rekneartane og bruke samanhengane formålstenleg i utrekningar 	Kims lek	5	Inne	Tallkort, Teppe, penn, papir 	5-6	I denne aktiviteten skal elevene memorere en samling med tall og regnearter, og deretter prøve å huske hva som blir tatt vekk	1. Læreren legger frem tall og regneart-symboler på bordet eller gulvet – f.eks. 3, 6, +, ÷.   2. Elevene får 1 min til å se og memorere innholdet.   3. Læreren dekker til med et teppe.   4. Elevene skriver ned på et ark hvilke symboler/tall de mener er forsvunnet	Elevene husker at de så 4, 2 og ÷. 	Ha med både symboler og ordkort som "delt", "sum", "forskjell" for begrepsstøtte. Øk vanskelighetsgrad gradvis.		Printouts av tallkort
	C0501	Modellere situasjonar frå sin eigen kvardag og forklare tenkjemåtane sine 	Byggmester bob	15	Inne/ute	Konkreter, gjenstander fra klasserommet 	2	I denne aktiviteten skal elevene bruke ulike gjenstander til å bygge ting! 	1. Læreren gir instruksjon: “Finn noe materiale og bygg noe som finnes i din hverdag – et rom, en gjenstand eller en opplevelse.”   2. Elevene får 5 minutter til å bygge.   3. Etterpå forteller de kort hva de har laget og hvorfor, og læreren åpner opp for refleksjon 	Elev A bygger en seng med bøker og papir og sier: “Jeg valgte å lage rommet mitt. Dette er senga mi, og det gule papiret er dynen.”	La elevene velge mellom å bygge individuelt eller i par. Du kan gi små temautfordringer som “bygg noe fra badet” eller “bygg noe som kan rulle”.	Hvordan valgte du hva du ville lage? Hva tenkte du underveis? Hvordan viser det du bygget en situasjon fra din egen hverdag?	
	C0601	lage rekneuttrykk til praktiske situasjonar og finne praktiske situasjonar som passar til oppgitte rekneuttrykk 	Sola skinner på	15	Inne eller ute	Vedlagte tall	Alle	I denne aktiviteten skal elevene øve på å lage og koble regneuttrykk til riktige svar.	1.Fortell at elevene skal stelle seg i en sirkel. 2. Del ut vedlagte lapper til alle elevene, enten med et regneuttrykk (f.eks. 4×2) eller et tall (f.eks. 8).   3. Én elev står i midten og roper ut et regneuttrykk eller spørsmål, som “Hvem har 6+4?” eller “Hvem har 10 som svar?”   4. De som har matchende uttrykk/svar løper inn og bytter plass, mens eleven i midten prøver å ta en ledig plass.   5. Den som blir stående igjen, stiller neste spørsmål.	Elev A roper “Hvem har 5×3?”, og eleven som har “15” og “5+5+5” løper inn og bytter plass. Elev A prøver å ta én av plassene.	- Bruk både konkrete uttrykk og visuelle lapper (f.eks. bilder eller mengder) for å støtte ulike nivåer. Lag egne lapper til tema dere jobber med. - For tryggere rammer kan elevene deles inn i par 	- Hvordan fant du ut hvilke regneuttrykk som passet sammen?  - Kunne samme tall ha flere uttrykk?  - Hvordan kan du finne på et regnestykke som passer til 18?	Printouts av tall 
	C0701	utforske, beskrive og samanlikne eigenskapar ved to- og tredimensjonale figurar ved å bruke vinklar, kantar og hjørne 	Trill meg!	15	Inne /Ute	Konkreter 	2-3	I denne aktiviteten skal elevene utforske hvilke 3D-former som triller godt, og bruke begreper som hjørner, kanter og flater for å forklare hvorfor.	1. Ta fram ulike gjenstander med forskjellige former (f.eks. ball = kule, terning = kube, bok = prisme).   2. La elevene trille én og én form på gulvet.   3. Be dem observere: Hvilken form triller best? Hvilken stopper raskt?   4. Snakk sammen: Hva har formene til felles? Hva gjør at noen ruller bedre enn andre?   5. La elevene forklare ved å bruke begreper som kanter, hjørner, flater.	Elevgruppe A prøver å trille en pyramide og oppdager at den ikke triller rett, mens en sylinder triller lett og langt. De sier: “Den har rund side uten hjørner.”	Bruk former fra natur eller klasserommet. 	- Hvilken form trilla best? Hvorfor det?  - Har formene som triller få eller mange kanter og hjørner?  - Hva skjer om du triller en kube på et hjørne? Hvordan kan du beskrive forskjellene på formene?	
	C0801	bruke ikkje-standardiserte måleiningar for areal og volum i praktiske situasjonar og grunngi valet	Kroppsmål	15	Ute	Ingen	2-3	I denne aktiviteten skal elevene bruke kroppen sin som måleverktøy for å utforske areal og forklare hvordan og hvorfor de måler på ulike måter.	1. Del elevene i grupper og forklar at de skal måle ulike uteområder (f.eks. en benk, en sandkasse, en dør, en plen) ved å bruke kroppen som måleenhet.    2. La elevene velge én metode og bruke den konsekvent for hvert område.   3. Be gruppene sammenligne: ble resultatene like? Hvorfor eller hvorfor ikke?   5. Diskuter i plenum hvilke måleenheter som var mest praktiske og hvorfor.	Måleenheter: fotlengder, armslengder, antall skritt. 	La elevene tegne området de målte og skrive inn måleresultatet. Snakk om fordeler og ulemper ved ulike måter å måle på.	- Hvilken kroppsdel brukte dere for å måle?  - Hvorfor valgte dere den?  - Hva gjorde dere for å sikre at dere målte likt hver gang?  - Hva var fordelen med å bruke kroppen – og hva var utfordrende?	
