													
													
	Id	Kompetansemål	Title 	Time	Location	Tools	Groupsize	Introduction	Main	Example	Tips	Reflection	Extra
	D0101	utforske og forklare samanhengar mellom brøkar, desimaltal og prosent og bruke det i hovudrekning	Sola skinner på	5	Inne/Ute	Ingen	5	I denne aktiviteten skal elevene koble brøk, prosent og desimaltall ved å observere og telle hvor mange som oppfyller en bestemt egenskap i gruppa.	1. Del elevene inn i grupper på 5.   2. Læreren sier en “sola skinner på”-setning, f.eks. “Sola skinner på alle med blå bukser”.   3. Alle det gjelder setter seg ned.   4. Gruppene teller hvor mange som sitter, og uttrykker det som en brøk av gruppa.   5. Læreren ber dem gjøre om til prosent og desimaltall.   6. Gjenta med nye utsagn og diskuter sammenhenger.	- 3 elever sitter i en gruppe på 5. Elevene sier: 3/5, som er 0,6 = 60 %. - Sola skinner på alle som sykla til skolen idag - Sola skinner på alle med blå genser		- Hvordan visste du at 2/5 er 40 %?  - Hva betyr det at 4/5 er 0,8?  - Er det lettere å starte med brøk eller med prosent? Hvorfor?	
	D0201	beskrive brøk som del av ein heil, som del av ei mengd og som tal på tallinja og vurdere og namngi storleikane	Pizzadeling	5	Inne	Papp-pizzastykker	4-5	I denne aktiviteten skal elevene bruke konkreter til å forstå og sammenligne brøker som del av en hel, mengde og størrelse.	1. Print ut vedlagte pizzastykker i papir 2. Del klassen opp i grupper på 4-5, og gi hver gruppe ulike “pizzaerbiter”  3. Læreren gir muntlige oppdrag: “Vis 3/4”, “Del pizzaen på deg og 4 venner”, “Hvem har fått mest?”   4. Elevene bruker bitene for å vise brøkene og forklare.   5. Sammenlign like mange stykker av ulike hele: Er 2/3 mer enn 2/4? Hvorfor?  	Gruppe 1 viser 3/4 ved å ta 3 av 4 pizzastykker. Gruppe 2 viser 2/3 og sammenligner hvem som har mest. Gruppene diskuterer hvilken brøk som er størst.		- Hvordan kan vi vite hvem som fikk størst del?  - Hva betyr det at du har 3/4 av en pizza?  - Er 1/2 alltid mer enn 1/3? Hvorfor eller hvorfor ikke?	printouts
	D0202	beskrive brøk som del av ein heil, som del av ei mengd og som tal på tallinja og vurdere og namngi storleikane	Steinfordeling	15	Inne/Ute	Småstein, Kritt	4-5	I denne aktiviteten skal elevene bruke konkrete gjenstander og fysisk tallinje for å koble sammen brøk, desimal og prosent.	1. Del klassen i grupper på 5. Gi et ulikt antall småstein til hver elev i en gruppe. Totalen i hver gruppe skal være 10.   2. Lag en tallinje på bakken fra 0 til 1 med merker for 0.1, 0.2 osv med kritt eller lignende 3. Elevene stiller seg på tallinja der deres andel småstein hører hjemme (f.eks. 2 småstein = 0.2).   4. Etterpå forklarer de: Hva er brøken? Hva er desimalen? Hva er prosentandelen?   5. Læreren går rundt og veileder gruppesamtalene.	Elev A har 3 av 10 steiner, stiller seg på 0.3 og sier: “Jeg har 3/10, som er 0,3 og 30 %.” Elev B har 1 stein og står på 0.1. Brøken deres er 1/10, som er 10 %.		- Hvordan fant du ut hvor du skulle stå på tallinja?  - Hva betyr 0.4 når du har 4 steiner?  - Hvordan henger 2/10 og 20 % sammen? Kan flere elever ha samme plassering?	
	D0301	representere brøkar på ulike måtar og omsetje mellom dei ulike representasjonane	Sola skinner på	5	Inne/Ute	Ingen	5-6	I denne aktiviteten skal elevene trene på å representere brøker, desimaltall og prosent gjennom en bevegelseslek.	1. Del elevene inn i grupper.   2. Læreren sier “Sola skinner på...” etterfulgt av en egenskap (f.eks. “alle med blå bukser”).   3. De det gjelder setter seg ned.   4. Elevene regner ut hvor mange av gruppa som sitter, som en brøk.   5. Gjør om til prosent og desimaltall i fellesskap.   6. Gjenta med nye utsagn og sammenlign svar.	2 av 5 elever i en gruppe har blå bukser og setter seg. Brøk: 2/5. Desimaltall: 0,4. Prosent: 40 %.	Lag et ark eller vis tallinja på tavla der elevene ser koblingen mellom brøk, desimal og prosent. Varier med grupper på 4, 10 osv. for ekstra utfordring.	- Hva betyr det at 2/5 sitter?  - Hvordan kan vi finne ut hva det blir i prosent?  - Er 1/2 det samme som 0,5 og 50 %?  - Hvilken form synes du er enklest å forstå – brøk, desimal eller prosent?	
	D0302	representere brøkar på ulike måtar og omsetje mellom dei ulike representasjonane	Brøk-hopp	15	Ute	Kritt, brøk-kort	5-7	I denne aktiviteten skal elevene bruke kroppen for å hoppe til riktig verdi på en tallinje og omsette mellom brøk, desimaltall og prosent.	1. Print ut vedlagte tall-kort 2. Del elvene opp i grupper på 5-7 stik, og tegn tilvarende antall  tallinjer på bakken med kritt (med brøker, f.eks. ⅛, ¼, ⅓, ½, ⅔, ¾ og 1).   3. Elevene steller seg på 0. 4. Læreren viser et kort med f.eks. 0,75, og elevene hopper til riktig posisjon på tallinja (¾).   5. Eleven sier de to andre formene (f.eks. ¾ og 75 %).   6. Gjenta med flere kort og elever.       	Et kort med 0,25 vises. En elev hopper til ¼ på tallinja og sier: "¼, 0,25 og 25 %"		- Hvordan visste du hvor 0,75 skulle være?   - Hvilken måte er enklest for deg å forstå?   - Hva betyr det når ⅔ og 0,66 nesten er det samme?   - Er det lettere å tenke i prosent når du vet det er 100 % totalt?	
	D0401	utvikle og bruke ulike strategiar for rekning med positive tal og brøk og forklare tenkjemåtane sine	Plussing med konkreter	5	Inne /Ute	Ingen	3-4	I denne aktiviteten skal elevene bruke konkreter til å utforske hva som kan legges sammen – og hvorfor noen ting ikke kan. De skal forklare hvordan og hvorfor.	1. Del elevene i grupper på 3-4 2. Gi hver gruppe en blanding av objekter (f.eks. 3 penner, 2 viskelær, 4 klosser, 1 linjal) 3. Gi oppdraget: «Sorter tingene deres! Hva hører sammen? Hva kan legges sammen – og hva gir ikke mening å legge sammen?» 4. Diskuter i plenum etter endt øvelse 5. Hver gruppe forklarer minst én kombinasjon de mener ikke kan legges sammen, og hvorfor.	- «3 penner + 2 viskelær = 5…? Nei! Det blir ikke 5 penner. Vi må si: 3 penner og 2 viskelær.» - «4 klosser + 1 kloss = 5 klosser – det gir mening!»		 – Hvorfor gir noen summer mening og andre ikke? – Hvorfor må vi vite hva vi legger sammen i matte? – Hva skjer hvis vi bare tenker på tall – og ikke på enhetene?	
	D0501	formulere og løyse problem frå eigen kvardag som har med brøk å gjere 	Pizzadeling	15	Inne	Papp-pizzastykker	4-5	I denne aktiviteten skal elevene bruke konkreter til å forstå og sammenligne brøker som del av en hel, mengde og størrelse.	1. Gi hver gruppe ulike “pizzaer” delt i forskjellige antall stykker (f.eks. 1/2, 1/3, 1/4, 1/6).   2. Læreren gir muntlige oppdrag: “Vis 3/4”, “Del pizzaen på deg og 4 venner”, “Hvem har fått mest?”   3. Elevene bruker bitene for å vise brøkene og forklare.   4. Sammenlign like mange stykker av ulike hele: Er 2/3 mer enn 2/4? Hvorfor?  	Elev A viser 3/4 ved å ta 3 av 4 pizzastykker. Elev B viser 2/3 og sammenligner hvem som har mest. Gruppa diskuterer hvilken brøk som er størst.		- Hvordan kan vi vite hvem som fikk størst del?  - Hva betyr det at du har 3/4 av en pizza?  - Er 1/2 alltid mer enn 1/3? Hvorfor eller hvorfor ikke?	printouts
	D0502	formulere og løyse problem frå eigen kvardag som har med brøk å gjere 	Piknik på deling	15	Inne/Ute	Tallkort, teppe	4-5	I denne aktiviteten skal elevene løse delingsproblemer gjennom en piknik	1. Del klassen i grupper på 5 og gi vedlagte figurer av “mat” (f.eks. 3 epler, 5 kjeks, 4 pizzabiter) til hver gruppe.   2. Be elevene fordele maten “rettferdig” mellom seg  3. La dem diskutere og bli enige om hvordan maten skal fordeles.   4. Når alle har delt, spør: Hva gjorde dere? Hvordan visste dere at det ble rettferdig?   5. Til slutt kan læreren introdusere begrepet “brøk” som en refleksjon.	En gruppe har 3 epler og 4 personer. De skjærer eplene i biter slik at alle får like mye. De sier: “Vi delte hvert eple i fire.” Etterpå viser læreren at det betyr at hver fikk 3/4 eple.		- Hvordan visste dere at alle fikk like mye?   - Hva gjorde dere når det ikke gikk opp i hele biter?   - Hvordan kan vi forklare det dere gjorde med tall etterpå?	printouts
	D0601	diskutere tilfeldigheit og sannsyn i spel og praktiske situasjonar og knyte det til brøk	Mynt og kast	15	Ute	Erteposer,  Bøtte, Mynter, vedlagt skjema	5-6	I denne aktiviteten skal elevene oppleve hvordan tilfeldighet påvirker resultatet, og samle data for å se variasjon 	1. Hver elev kaster en mynt: Mynt = du får kaste, Kron = du må vente.   2. De som får mynt får én ertepose og prøver å treffe bøtta.   3. Gruppene registrerer hvor mange som fikk kaste, og hvor mange som traff.   4. Gjenta runden 4–5 ganger.  5. Etterpå diskuterer dere: Hvor mange fikk kaste totalt? Hvor mange traff? Var det forskjell mellom rundene? Hva skyldes det?	I én runde fikk 3 av 5 elever mynt. Av de 3 som kastet, traff 1. Neste runde fikk 4 av 5 mynt, og 2 traff. Elevene oppdager at antall som får kaste varierer tilfeldig.	La elevene tegne søylediagram for antall treff per runde. Koble det til brøk: f.eks. 2 av 5 = 2/5. Sammenlign ulike grupper.	- Hvor mange fikk lov til å kaste i de ulike rundene?  - Hvor ofte traff dere?  - Hva betyr det at det varierer selv om vi bruker samme regler hver gang?  - Hvordan kan vi skrive resultatene som brøk?	prinputs av registrerings ark
	D0602	diskutere tilfeldigheit og sannsyn i spel og praktiske situasjonar og knyte det til brøk	Brøk-kast med terninger	5	Inne/Ute	Terninger, Skrivesaker, vedlagt skjema	2-3	I denne aktiviteten skal elevene samle inn data ved å kaste en terning 20 ganger og utforske sammenheng mellom tilfeldighet, sannsynlighet og brøk.	1. Hver elev får én terning og et blankt ark.   2. Eleven kaster terningen 20 ganger.   3. Etter hvert kast noterer de tallet som kommer opp.   4. Etter 20 kast, lager eleven et skjema der de teller hvor mange ganger hvert tall (1–6) ble kastet.   5. De regner ut hvor stor andel (i brøkform) hvert tall fikk.	En elev fikk tallet 3 hele 6 ganger. Det gir 6/20. Tallet 1 kom bare 2 ganger = 2/20. Tallet 5 kom 4 ganger = 4/20. Elevene sammenligner resultatene.	Lærer kan bruke felles oppsummering på tavla og lage søylediagram med klassen. Be elevene sammenligne resultatet sitt med andres.	- Hvor mange ganger fikk du hver side?  - Hvilken side fikk du flest ganger?  - Hva ble brøken for tallet 2?  - Er det sikkert at alle tallene kommer like mange ganger?	printouts av telleark
