													
	Id	Kompetansemål	Title	Time	Location	Tools	Groupsize	Introduction	Main	Examples	Tips	Reflection	Extra
	E0101	utforske, namngi og plassere desimaltal på tallinja	Treff tallinja!	15	Ute	Kritt, Erteposer	3-4	I denne aktiviteten skal elevene fysisk utforske tallinja ved å kaste risposer på en tallinje og selv vurdere hvor den landet	1. Læreren tegner en stor tallinje på bakken fra 0 til 1, med tydelige tidelsmarkeringer (0.1, 0.2, ..., 1.0).   2. Del klassen i grupper på 3-4 elever, og la én elev om gangen kaste en rispose mot tallinja.   3. Etter kastet diskuterer gruppa: Hvor landet den? Hvilket desimaltall er det nærmest?   4. Eleven må velge og si: “Jeg tror det er 0.6.”   5. Lærer spør oppfølgingsspørsmål og hjelper til med å plassere.   6. Gjenta flere runder, og la elevene få sammenligne resultater.	Elev B kaster og posen lander mellom 0.3 og 0.4. Gruppa blir enige om at den landet på 0,35 og forklarer at det var omtrent midt mellom. Klassen diskuterer – er det nærmere 0.3 eller 0.4?	- Start med bare tideler, og utvid til hundredeler for mer utfordring.  - brukk kritt, teip, tråd, tau, etc for oppmerking av tallinja	– Hvordan bestemte dere hvilket tall posen landet på?   – Hvorfor valgte dere akkurat 0.6 og ikke 0.5?   – Hva betyr det at noe ligger “mellom 0.3 og 0.4”?   – Kan to kast være “nesten like” selv om de har ulike tall?	
	E0101	utforske, namngi og plassere desimaltal på tallinja	Mimeleken	5	Inne	Ingen	2	I denne aktiviteten skal elevene mime et desimaltall mens den andre i paret prøver å gjette hvilket tall det er.	1. Den ene eleven skal tenke på et desimaltall. 3. Eleven skal deretter prøve å mime tallet uten å bruke lyd eller skrive det. 4. Den andre eleven i paret prøver å gjette hvilket tall det er. 5. Når de har gjettet riktig, bytter de roller. 6. Aktiviteten kan gjentas med flere desimaltall. 	En elev får tallet 0,5 og viser med hendene en halv gjenstand, eller viser et halvt eple for å hjelpe den andre å forstå.	Bruk kjente referanser som penger (f.eks. en tier for 0,10) eller mat (halvt eple, kvart pizzastykke) for å gjøre mimingen lettere.	- Hvilke strategier brukte dere for å forstå hvilket tall som ble mimet? - Hvordan kan miming hjelpe oss å forstå desimaltall bedre? - Hva lærte du om hvordan desimaltall kan vises visuelt?	
	E0201	utforske strategiar for rekning med desimaltal og samanlikne med reknestrategiar for heile tal 	Tall på kropp!	15	Ute	Tallkort, kritt	4-6	I denne aktiviteten skal elevene bruke kroppen og samarbeid for å representere desimaltall, brøker og prosent – og oppdage likheter og forskjeller mellom dem.	1. Læreren tegner tre store symboler på bakken: en brøkstrek, et prosenttegn og en kommastrek.   2. Del klassen inn i grupper og gi hvert elev tall-lapper (0-9).   3. Læreren roper ut et tall i form av brøk, prosent eller desimaltall (f.eks. 3/4, 75 %, 0,75).   4. Elevene i gruppa må samarbeide for å stille seg fysisk opp med riktig tall på riktig plass (f.eks. 3 over brøkstreken, 4 under).   5. Etter oppstilling: diskuter i klassen – hvordan kunne dette også vært vist som prosent eller desimaltall?	Lærer roper “0,25” → En elev med 2 stiller seg etter komma, og en med 5 stiller seg etter det. Samtidig diskuterer klassen: "Hva er dette som brøk? Som prosent?"	La grupper jobbe roterende mellom komma, brøk og prosent. Bruk samme tall i ulike formater og be dem oppdage mønstre og sammenhenger.	– Hvordan visste dere hvor dere skulle stå?   – Hva er likt mellom 3/4, 0,75 og 75 %?   – Hvordan kan vi bruke de samme tallene i ulike representasjoner?   – Hva er forskjellen på å regne med 0,25 og 25?	printouts
	E0301	formulere og løyse problem frå sin eigen kvardag som har med desimaltal, brøk og prosent å gjere, og forklare eigne tenkjemåtar 	Kart-lek: Steinturen 0–10	15	Inne/Ute	Kritt, Småstein, Skjema 	4-6	I denne aktiviteten skal elevene fordele steiner langs en reiserute med 5 holdeplasser og bruke brøk, desimal og prosent for å forklare valgene sine.	1. Lag en fysisk rute eller tegn en tallinje fra 0 til 10 med 5 holdeplasser (f.eks. 2, 4, 5, 7, 10).  2. Alle elevene får 10 steiner som de skal “reise med” og fordele på holdeplassene.   3. De må bestemme selv hvor mange steiner som skal “bli igjen” på hvert stopp.   4. Etterpå beskriver de fordelingen som brøk, prosent og/eller desimaltall.   5. Elevene forklarer hvorfor de valgte som de gjorde – f.eks. “Jeg la 3 steiner på holdeplass 4 fordi det er midt på reisen.”	En elev la 2 steiner på holdeplass 2 → 2/10 = 0,2 = 20 %. 3 steiner på holdeplass 4 → 3/10 = 0,3 = 30 %. De sier: “Jeg fordelte mest på midten fordi det er viktigst.”	La elevene skrive ned valgene sine i en tabell med kolonne for antall steiner, brøk, prosent og desimal. Bruk gjerne rutenett på gulvet eller ute.	– Hvorfor valgte du å legge flest steiner på én plass?   – Hvordan regner du ut hvor stor del 3 av 10 er?   – Hva er forskjellen på å skrive det som brøk, prosent og desimaltall?  	printouts
	E0302	formulere og løyse problem frå sin eigen kvardag som har med desimaltal, brøk og prosent å gjere, og forklare eigne tenkjemåtar 	Følg med!	5	Inne	Tavle, Tusj	Alle	I denne aktiviteten skal elevene bruke prosent, brøk og desimaltal i praksis ved å følge tidsregler knyttet til en vanlig time.	1. Skriv opp "tidsregler" på tavla før timen startar. 2. Forklar at de skal gjennomføre vanlig fagarbeid, men stoppe opp ved visse tidspunkter. 3. Når 1/4 av timen har gått, si til klassen: "Nå er det 1/4 av timen – hva skal vi gjøre?" 4. Gjenta dette ved 30 min (50 %), 45 min (3/4) og til slutt ved 60 min (100 %). Elevene utfører handlingene som står ved hvert tidspunkt.	⏱️ Når 1/4 av timen har gått (15 min) → Bytt plass med en annen!  ⏱️Når 50 % av timen har gått (30 min) → Snu deg og si noe hyggelig til sidemannen!  ⏱️Når 3/4 av timen har gått (45 min) → Bytt plass igjen!  ⏱️Når 100 % (1 hel time) har gått → Reis dere og si i kor: "Tusen takk, lærer!"	Ha reglene stående på tavlen hele timen slik at elevene ikke glemmer tidspunktene.	- Hvilke brøk, desimaltal og prosent brukte vi i denne aktiviteten? - Hvordan kan du finne 25 %, 50 % og 75 % av en tidsenhet? - Hvorfor er det nyttig å kunne regne med tid i prosent i hverdagen?	
	E0401	beskrive eigenskapar ved og minimumsdefinisjonar av to- og tredimensjonale figurar og forklare kva for eigenskapar figurane har felles, og kva for eigenskapar som skil dei frå kvarandre 	Formjakt i 3D	45	Inne/Ute	Vedlagte figurer	5-6	I denne aktiviteten får elevene utdelt ulike 2D figurer og skal deretter prøve å finne liknende figurer i 3D! 	1. Del klassen i grupper  på 2 2. Gi hver gruppe et oppdrag: “Finn noe som har en firkant i seg”, “Finn noe som har en trekant i seg”, “Finn noe som er kuleformet”, “Finn noe med rektangulære sider”.  3. Gruppene går på “formejakt” og dokumenterer hvert funn.   4. Når de kommer tilbake, presenterer de funnene.   5. Læreren hjelper med å navngi 3D-formene og samtaler om hvilke 2D-former de består av.	En gruppe finner en bok (rektangel) → Lærer forklarer at det er et prisme. En annen finner en ball → kule	Bruk vedlagte figurer og gi til elevene for visuell støtte	– Hvilke 2D-former kunne du se på 3D-figuren?   – Hva gjør en kule forskjellig fra en kube?   – Hvor mange hjørner eller kanter fant dere?   – Hva har formene til felles?	printouts
	E0402	beskrive eigenskapar ved og minimumsdefinisjonar av to- og tredimensjonale figurar og forklare kva for eigenskapar figurane har felles, og kva for eigenskapar som skil dei frå kvarandre 	Kongen befaler	5	Inne/Ute	Ingen	Alle	I denne aktiviteten skal læreren være kongen befaler der elevene sakl følge kommandoer som handler om geometriske figurer og deres egenskaper-	1. Læreren er “Kongen” og gir kommandoer som elevene må følge – men kun hvis kommandoen starter med “Kongen befaler!” 2.  Læreren observerer og gir rask tilbakemelding.	2D-former: -Kongen befaler: finn noe som har form som en sirkel! -Kongen befaler: pek på noe som er et rektangel! -Kongen befaler: legg hånden på noe med tre hjørner! -Kongen befaler: still deg ved noe som har like lange sider! -Kongen befaler: vis med kroppen en firkant! 3D-former: -Kongen befaler: rør noe som er en kube! -Kongen befaler: finn en gjenstand som er en sylinder! -Kongen befaler: pek på noe som har form som en kjegle! -Kongen befaler: finn noe med minst ett krumt (buet) område! -Kongen befaler: stå ved noe som har en kuleform! Egenskaper og sammenlikning: -Kongen befaler: finn to ting med ulikt antall hjørner! -Kongen befaler: finn noe som har både hjørner og kanter! -Kongen befaler: pek på noe som ruller lett – hvorfor? -Kongen befaler: vis forskjellen på noe flatt og noe romlig! Kongen befaler: vis med hendene en form med ingen rette kanter!		- Hva måtte du se etter for å løse oppgaven? - Hvordan visste du at objektet passet til formen? - Hvilke former var lettest og vanskeligst å finne?	
	E0501	utforske og beskrive symmetri i mønster og utføre kongruensavbildingar med og utan koordinatsystem 	4 på rad – Symmetriutfordring	15	Ute	Kritt	3-4	I denne aktiviteten skal elevene spille et utendørs 4 på rad-spill der de må bruke kongruente eller speilvendte objekter for å vinne. Dette gir fysisk og visuell trening i symmetri og kongruens.	1. Lag et stort rutenett på bakken (f.eks. 6 x 6 ruter).   2. Del elevene inn i grupper eller par.   3. Hver elev samler objekter fra naturen (blad, pinne, stein, osv.).   4. På tur legger de objektene sine i rutenettet og forsøker å få fire på rad – enten med kongruente objekter (samme type og form) eller speilvendte mønster.  5. Første som klarer fire på rad vinner.	- Fire like blader lagt i en horisontal linje - fire firkanter (bok, linjal, bok, kortstokk)	Kan enkelt gjennomføres inne dersom man dropper rutenettet og heller lar elevene legge konkretene på rekke selv	– Hvordan ser vi at to objekter er speilvendte?   – Hva betyr det at noe er kongruent?   – Kan dere forklare hvordan dere tenkte da dere la ut objektene?	
	E0502	utforske og beskrive symmetri i mønster og utføre kongruensavbildingar med og utan koordinatsystem 	Hermegåsa!	5	Inne/Ute	Kritt	2	I denne aktiviteten skal elevene speile hverandre over en symmetrilinje. 	1. Lag en speillinje på gulvet med tape eller tegnet med kritt. 2. Elevparet stiller seg på hver sin side av speillinjen. 3. Én elev i paret utfører en bevegelse foran speillinjen. 4. Den andre eleven speiler bevegelsen så nøyaktig som mulig. 5. Etter noen runder, bytter de roller. 	Én elev løfter høyre arm, den andre løfter venstre arm slik at det ser ut som en speiling i speil.	Bruk musikk for å gjøre det mer rytmisk og engasjerende. Gjennomfør ute om det er behov for mer plass.	- Hvordan vet du at bevegelsen din er en speiling? - Hva må du tenke på når du speiler noen andres bevegelse? - Hvordan kan vi kjenne igjen symmetri i mønstre og bevegelser?	
	E0601	måle radius, diameter og omkrins i sirklar og utforske og argumentere for samanhengen 	Sirkeljakten	15	Ute	Kritt, målebånd	3-5	I denne aktiviteten skal elevene samarbeide om å lage en sirkel, måle radius og diameter, og utforske hvordan disse henger sammen med omkrets.	1. Hver gruppe bruker kritt til å forme en sirkel på bakken.   2. De måler diameteren og beregner radius.   3. Deretter går de rundt sirkelen med skritt og sammenligner omkretsen med målt diameter.   4. Til slutt konkurrerer gruppene: Hvilken gruppe laget den mest nøyaktige sirkelen, der omkrets ≈ diameter × π?	En gruppe lager en sirkel med 2 meter diameter. Radius blir da 1 meter, og de forventer at omkretsen skal være ca. 6,28 meter.	Kan enkelt bytte kritt med hyssing, tau, pinner. Bruk det dere har tilgjengelig!	– Hvordan fant dere radius og diameter?   – Hvorfor er omkretsen alltid omtrent 3 ganger diameteren?   – Hvordan visste dere om deres sirkel var nøyaktig?	
