													
													
	Id	Kompetansemål	Tittel 	Time	Location	Tools	Groupsize	Introduction	Main	Examples	Tips	Reflection	Extra
	F0101	utvikle og bruke formålstenlege strategiar i rekning med brøk, desimaltal og prosent og forklare tenkjemåtane sine 	Kongen befaler! 	5	Inne/Ute	A3-Papir, Penn, Saks	Tilfeldig antall	I denne aktiviteten skal elevene samarbeide om å koble brøk, desimaltall og prosent ved hjelp av papir-pizzastykker.	 1. Del klassen inn i grupper av forskjellig størrelse. Noen kan være 2 og 2, andre kan være 4,5,6,7 stykker osv.  2. Gi et A3-papir, penner og én saks til hver gruppe 3. Læreren sier "Kongen befaler: Dere skal spise pizza sammen! Tegn en  pizza og del den mellom dere slik at alle i gruppen får et like stort stykke hver!" 4. Lagene samarbeider om å tegne pizzaen og tegne opp pizzabitene og klippe dem ut	En gruppe på 4 vil tegne opp en pizza, opg dele den i 4 deler og klippe den ut. 	Juster vanskelighetsgrad etter nivå: mindre grupper for de som trenger mer støtte, større grupper for de som trenger mindre.	- Hva slags strategi brukte dere for å dele opp riktig? - Hvordan samarbeidet dere i gruppa?	
	F0201	representere og bruke brøk, desimaltal og prosent på ulike måtar og utforske dei matematiske samanhengane mellom desse representasjonsformene 	Brøk-bingo	5	Inne	Bingokort	2	BINGO! I denne aktiviteten skal elevene finne sammenhengen mellom ulike representasjoner av samme verdi ved hjelp av et bingospill.	1. Print ut vedlagte bingokort. 2. Del klassen i par og del ut bingokort til hvert par.  3. Læreren trekker ett og ett tallkort og sier verdien høyt, for eksempel “0,25”.  4. Elevene må finne riktig rute med samme verdi, men i en annen form, f.eks. “1/4” eller “25 %”.  5. Det første parret som får én, to eller tre rekker roper “Bingo!”.  6. De som får bingo må forklare hvilke ruter de hadde, og hvordan de visste at de hørte sammen.	Læreren sier “0,25”, og eleven krysser av på “1/4”. Når eleven får Bingo, forklarer de: “Jeg krysset av 1/4, fordi det er det samme som 0,25 – altså 25 prosent.”		- Hvordan visste du at 1/4 og 0,25 hører sammen?  - Hva er forskjellen på prosent og desimaltall?  - Hvordan kan du bruke det du lærte i dag i andre situasjoner?	
	F0301	utforske negative tal i praktiske situasjonar 	Temperatur	15	Ute	Kritt	6–7	Er du kald, varm eller helt passe? I denne aktiviteten skal elevene bruke kroppen til å utforske temperaturendringer og bevege seg på en tallinje med både positive og negative tall.	1. Lag en stor tallinje ute på bakken fra +10 til –10 med kritt. Hvis det er plass er det fint å fordele seg på flere tallinjer.  2. Del klassen i grupper på 6–7  3. Fortell at 0 er startposisjon, og at mellom hver oppgave skal alle tilbake hit.  3. Én og én elev trekker et kort, for eksempel: «det blir 3 grader kaldere».  4. Gruppen beveger seg tilsvarende antall trinn bakover eller fremover på tallinjen.  5. På hvert nytt tall skal elevene utføre en bevegelse som passer til temperaturen: gå vanlig dersom det blir varmere, gni hendene dersom det blir kaldere, hopp og skjelv ved minusgrader (alt under 0), legg seg ned ved ekstrem kulde (dersom man når -10).	Gruppen står på 0 og trekker “–4 grader”. De flytter seg til –4 og begynner å gjøre småhopp og late som de skjelver.	- Bruk kritt, tau eller pinner til å lage tallinjen ute.  - La elevene bestemme nye bevegelser ved temperaturendringer	- Hvordan kjente dere igjen hvilke tall som var negative?  - Hvordan vet dere om dere skal gå fremover eller bakover?  - Hva betyr det når det blir kaldere?  - Var dere noen gang under null?	
	F0302	utforske negative tal i praktiske situasjonar 	Steingjetting	15	Ute	Småstein, beger/kopp, ark og blyant	2	I denne aktiviteten skal elevene utforske negative tall ved å betale differanser i et steingjettingspill og se hvordan gjeld fungerer.	1. Presenter aktiviteten og del klassen i par. 2. Gå ut i skolegården og gi hvert par 10–30 små steiner i hvert sitt beger. 3. Elev A gjemmer et antall steiner i knyttet hånd mens B lukker øynene.; 4. Elev B gjetter antall steiner.; 5. Hvis gjetningen er riktig, får B de gjetta steinene.; 6. Hvis gjetningen er feil, må B “betale” A antall steiner lik differansen (gjetning – faktisk); 7. Bytt roller og fortsett til én parter har mistet alle steinene.	Gruppespill: A hadde 15 steiner, B gjettet 12 → differanse 3, B betaler 3 til A og får saldo –3; neste runde bytter de rolle.	– Oppmuntre elevene til å si høyt når de “betaler” (f.eks. “Jeg skylder 3”).	 Hvordan kan vi skrive minus 3 med negativt tall?- Hjalp spillet deres å forstå noe om gjeld (å skylde noen)?	?? 
	F0401	bruke tallinje i rekning med positive og negative tal 	Flykaptein på tidssoneoppdrag!	15	Ute	Kritt, Reisekort, Startkort, Stedskort	2	I denne aktiviteten skal elevene bruke tallinjen for å regne med positive og negative tall ved å navigere mellom tidssoner.	1. Print ut vedlagte reisekort,startkort og stedskort 1. Lag en stor horisontal tallinje ute  fra –12 til +12, og merk sonene med land og flagg. 2. Del elevene i par: én er pilot, én er flyleder. 3. Flylederen trekker et startkort med en starttidssone. 4. Flylederen trekker deretter et pilotkort og gir en kommando med retningsendring i tidssoner (f.eks. "Fly 6 soner vestover (mot venstre)"). 5. Piloten går fysisk langs tallinja og teller høyt mens han/hun flytter seg. 6. Piloten stopper i ny tidssone og leser landet. 7. De noterer startpunkt og endepunkt. 8. Bytt roller og gjenta.	Flyleder sier: Dere skal fra Nairobe til Santiago i Chile! =3 – 6 = –3 (start i Nairobi, lander i Santiago 🇨🇱)	- Bruk kapteinlue eller pilotmerker for ekstra engasjement - Elevene kan også finne på egne destinasjoner og så regne ut forskjell i tidssoner	- Hva skjer når vi flyr østover? - Hva med vestover? - Hvilke regnestykker måtte dere gjøre? - Hvordan kan du vite at du havnet riktig uten å gå hele veien?	Prinout laget
	F0501	bruke samansette rekneuttrykk til å beskrive og utføre utrekningar 	Detektivene!	45	Inne	Papir, Skrivesaker, Gåter	5-6	I denne aktiviteten skal elevene løse matematiske gåter på ulike poster og kombinere delresultater til å finne ett felles svar.	1. Print ut vedlagte gåter 2. Del elevene i grupper på 5.  3. Lag 6 poster med hver sin gåte (gåtene handler om tekstforståelse og samansette rekneuttrykk).  4. Elevene går fra post til post og løser gåtene sammen – hver gåte gir dem et tall.  5. Når alle postene er fullført, skal de bruke svarene for å finne ut hva som er felles – nemlig tallet 16.  6. Klassen samles til slutt for å diskutere hvordan de løste uttrykkene.	På én post står det: “Jeg har fire ben, men kan ikke gå. Tell bokstavene i navnet mitt og gang med antall bein.” Elevene svarer “bord”: 4 bokstaver x 4 bein = 16.	Vis hintkort for grupper som står fast.   	- Hvordan tenkte dere for å løse gåtene?  - Hva slags regneuttrykk brukte dere mest?  - Hvilke strategier hjalp gruppa deres å samarbeide?	Prinout laget
	F0601	bruke ulike strategiar for å løyse lineære likningar og ulikskapar og vurdere om løysingar er gyldige 	Gjett X!	5	Ute	Papir, Skrivesaker	4	I denne leken skal elevene bytte på å tenke på et tall for variabelen x, og den andre eleven skal prøve å gjette hva x er.	1. Én elev i hver gruppe blir "X-mesteren" og snur ryggen til de to andre. 2. De to andre elevene blir enige om et hemmelig tall for x (f.eks. x = 4). 3. Læreren leser opp en likning høyt til hele klassen (f.eks. "x + 2 = ?"). 4. De to elevene som kjenner x, regner ut svaret (f.eks. 4 + 2 = 6) og viser det med kroppen (f.eks. hopper 6 ganger, klapper 6 ganger eller holder opp 6 fingre). 5. X-mesteren snur seg, observerer bevegelsene og gjetter svaret på likningen (f.eks. "Svaret er 6"). 6. Hvis svaret er riktig, skal de to elevene vise hvilket tall x er (f.eks. ved å hoppe 4 ganger). 7. X-mesteren forsøker nå å finne ut hvilket tall x er, og sier svaret høyt (f.eks. "Da må x være 4!"). 8. X-mesteren skriver ned likningen og løsningen på et ark (f.eks. "x + 2 = 6, x = 4") og viser det til de to andre i gruppa. 9. De to andre verifiserer at løsningen er riktig. 10. Bytt roller slik at alle i gruppa får prøve å være både X-mester og "visere".	Elevene i en gruppe bestemmer at x = 3.  Læreren sier: x + 5 = ?" De to viser tallet 8 med kroppen – for eksempel ved å:  - Hoppe 8 ganger - Klappe 8 ganger - Vise 8 fingre X-mesteren snur seg, ser bevegelsene og sier:  "Svaret er 8!"  De to andre elevene nikker, og viser nå x = 3 ved å: -  Hoppe 3 ganger  X-mesteren sier:  "Da må x være 3!"  X-mesteren skriver ned likningen: x + 5 = 8 x = 3   De to andre elevene leser og bekrefter svaret. Så bytter de roller slik at en ny elev er X-mester.	Varier likningene med både pluss og minus. Oppfordre til kreative måter å vise tall på med kroppen.	Hvordan hjalp kroppslig aktivitet deg å forstå likningen? - Hva gjorde det enklere eller vanskeligere å finne x? - Hvordan samarbeidet dere i gruppa?	
	F0701	utforske og bruke formålstenlege sentralmål i sine eigne og andre sine statistiske undersøkingar 	Tall-agentene 	5	Inne	Ingen	3-4	I denne aktiviteten skal elevene være små statistikere! De får velge et spørsmål, samle inn ekte data fra medelever, og bruke statistiske mål som gjennomsnitt, typetall og median for å utforske resultatene. Til slutt sammenlignes funnene – og vi ser hvilken informasjon de ulike målene faktisk gir oss.	1. Del klassen inn i grupper på 3–4 elever. 2. Gi hver gruppe et spørsmål å undersøke (f.eks. «Hvor mange søsken har dere?», «Hvor mange minutter bruker dere på lekser hver dag?»). 3. Gruppa samler inn svar fra de andre i klassen.  4. Sammen skal de finne: gjennomsnitt, typetall, median 5. Klassen diskuterer funnne samlet 	- Hvor mange søsken har dere ?  - Hvor mange kjæledyr har dere? - Hvor mange sporter driver dere med? - Hvor mange steder har dere bodd? 	- Still spørsmål som knytter statistikken til elevenes hverdag	- Kan samme datasett gi ulike inntrykk avhengig av hvilket mål vi bruker?	
	F0801	logge, sortere, presentere og lese data i tabellar og diagram og grunngi valet av framstilling 	Statistikksamlerne 	45	Inne/Ute	Registreringsskjemaer, skrivesaker,	2–3	I denne aktiviteten skal elevene samle inn data, organisere den i tabeller og presentere resultatene i diagram.	1. Print ut vedlagte registreringsskjema 2.  La gruppene velge 2-3 temaer for datainnsamling. 3. Elevene går ut og registrerer data med skjemaer, fordelt på temaene. 4. Tilbake i klasserommet: organiser data i tabell og lag et diagram. 5. Gruppene presenterer funnene og forklarer valgene sine.	Mulige temaer: Biltyper utenfor skolen – SUV, elbil, varebil, liten bil, stor bil. Sparkesykler og sykler på skoleområdet – Elektrisk sparkesykkel, vanlig sparkesykkel, barnesykkel, sykkel med støttehjul. Kjæledyr i klassen – Hund, katt, hamster, fisk, kanin. Fuglearter observert i skolegården – Kråke, due, spurv, måke, blåmeis. Farger på jakker i garderoben – Rød, blå, grønn, svart, gul. Insekter funnet ute – Maur, marihøne, sommerfugl, bille, bie. Antall søppelbiter i skolegården – Plast, papir, matavfall, metall, annet.	  - Bruk froskjellige farger for å skille søylene i søylediagrammet.	- Hvordan bestemte dere hvilke data dere ville samle inn? - Hva var lett eller vanskelig med å samle data? - Hvorfor valgte dere akkurat den måten å vise resultatene på?	Printout laget
	F0802	logge, sortere, presentere og lese data i tabellar og diagram og grunngi valet av framstilling 	Mini-OL 	45	Ute	Stoppeklokke, Målebånd, Papir, Skrivesaker	Alle	I denne aktiviteten skal elevene samle inn data gjennom å ha et mini-OL og bruke resultatene til å lage tabeller og diagram.	1. Print ut vedlagte skjemaer 2. Forklar at elevene skal konkurrere i øvelser og loggføre resultatene.  3. Gjennomfør øvelsene: lengdehopp, kast med liten ball, kast med stor ball og 60-meterløp.  4. Gruppene måler og logger resultatene. 5. Når alle har gjennomført, setter gruppene seg sammen og lager tabeller. 6. Elevene velger en type diagram og presenterer dataene sine.	Et lag finner ut at gjennomsnittlig tid på 60-meteren var 10,2 sekunder, og lager et stolpediagram som viser dette for hver elev.	La elevene prøve å tolke hverandres diagram. Bruk farger for å gjøre diagrammene tydeligere. Juster øvelsene etter tilgjengelig plass.	- Hvilket diagram ga best oversikt? - Var det stor forskjell på hvem som var raskest og hvem som hoppet lengst? - Hva var mest gøy – samle inn data eller lage diagram?	Printout laget
